R² Val,R² Test,units,depth,lr,l2,dropout,batch_size,epochs
0.7550969145313722,0.7414630309318666,64,3,0.0002577499390238402,1.5083400142566557e-05,0.11472650309815985,16,90
0.7521781746075452,0.7393774761860853,128,3,0.00019485934129813217,0.00032203834937848526,0.10003192959641394,32,96
0.757182708444386,0.7433494172067442,128,2,0.00034264387457835755,5.1807583891259196e-05,0.15699727843086445,16,81
0.7513691939034994,0.7369656917637878,128,2,0.0015883128279096847,2.4033262965460508e-05,0.16394719379085776,16,66
0.7504045660985865,0.7364332004393709,128,2,0.0003952380051905979,1.690066878935175e-05,0.25628519327055976,64,93
0.7459876538202485,0.7353002617474842,128,2,0.0005407282610031269,0.0002632718490105352,0.18433685699080754,16,69
0.7466692513319988,0.7339773014638324,128,3,0.0010953712980151485,1.6091725115700403e-05,0.19505718911672387,32,61
0.7471351163066207,0.7339573075967367,64,3,0.000941182527190352,0.00028408042080659625,0.11696306094635678,16,77
0.7414146449446394,0.7307140340563533,32,2,0.004095655157395842,0.00013064811684916817,0.10128357625454315,32,94
0.744384630575857,0.7297098741273194,64,2,0.0019298506560864713,2.7515937263939078e-05,0.12444094211291999,64,55
0.7424674814063033,0.7296507262833407,128,2,0.0007690469937444689,0.00020384848814646305,0.1120758942620403,16,73
0.7423441524113463,0.7296035106747706,128,3,0.0003556113540816264,5.437115714224978e-05,0.2859111977241968,16,80
0.7617772338267512,0.7451535757949186,128,2,0.00048233043820028405,0.00011375782183413518,0.1307550728524499,16,87
0.7542538619138736,0.7417613993585105,64,3,0.0010649710524166108,4.6084211742258257e-05,0.10903658578904646,16,68
0.7562659608206823,0.7411696902436905,128,3,0.00039682644728054726,0.00020314316930284578,0.13206369626281012,16,75
0.7500083249464741,0.7394771536551769,128,3,0.00015380867061262602,1.7721177359092895e-05,0.15186777586453654,16,77
0.7496777881336875,0.734633145315889,128,3,0.0006006147289941161,0.0002636930370152546,0.19987365969048987,64,65
0.7491564398238111,0.7335624420113621,128,2,0.00043684197528443664,0.00013796539569270488,0.10013443171142761,16,61
0.7458924390274521,0.7327911591674203,64,3,0.000214794821000329,1.7803263604918295e-05,0.13887207146086203,16,91
0.7476966006665802,0.7325736729319264,128,3,0.0009754185953125587,0.00031207663919961804,0.17650591982148017,64,62
0.7479023283740194,0.7310354264442287,64,2,0.0006974495763299939,0.00035162535647569125,0.16241469743878117,16,55
0.7515520947060583,0.7393087144040373,128,3,0.0007398378213227363,6.50964689337758e-05,0.1929279383480919,32,96
0.7482551336405825,0.737365397241566,128,2,0.002460741963534548,0.00014320624783551245,0.15396899925303753,32,52
0.7484157518150312,0.7363736131013474,128,3,0.00034726574422434597,1.0668824202139542e-05,0.17609366340400517,64,97
0.7501153597304744,0.7357548099688802,64,2,0.0018528290962017348,3.566167965345666e-05,0.1378773674906769,32,67
0.7493496833192466,0.7348419438062358,128,2,0.0002061296007944885,9.395082449325731e-05,0.11556633829032932,16,57
0.7491955862676722,0.7335951889412002,128,2,0.0003070646075041551,0.00014031017165448467,0.17702517426623088,16,73
0.7506567317296752,0.7333994756571716,128,2,0.001381157447383954,7.343852568992568e-05,0.18026364922022645,32,69
0.7464791861884597,0.732939913976107,128,2,0.00039804537332874176,0.00016664379382899864,0.2783383970581663,16,71
0.7446796567388336,0.7320107756736163,128,2,0.0014347063943682499,9.203354700543162e-05,0.23708002677668807,64,53
0.7445381640702006,0.7304907144003572,64,3,0.0004620806768727908,3.577435386395098e-05,0.16543362399513578,16,71
