run_id,R² Val,R² Test,units,depth,shrink_factor,lr,l2,dropout,batch_size,epochs
57,0.7075912349484272,0.6945611064550482,256,2,1.0,0.00021115967845190147,1.843790209064843e-05,0.2905191824794943,32,230
102,0.7040510737576512,0.6903654671220971,128,4,1.0,0.0001331537813896544,0.00010370612371753875,0.19042802634491468,16,121
38,0.7072959001941925,0.6903194459924874,128,2,2.0,0.00023113461708921862,2.539119674709542e-05,0.10767450564992642,16,185
174,0.705547706631667,0.6900852854607904,256,4,1.0,0.0002835115286981002,2.133202483666884e-05,0.11554641146592548,16,289
34,0.705450140435133,0.6886486398929348,256,2,2.0,0.00015053692945328834,4.5659083175966634e-05,0.2961535292815131,16,111
62,0.7067392314508463,0.6884091414598399,256,2,1.5,0.00030091763388228807,1.5044338299022984e-05,0.12238831438995473,16,194
80,0.704663853354707,0.6874711998791907,64,2,2.0,0.00016670394204265388,1.84602810875581e-05,0.18879578361335878,32,254
41,0.7042366057165586,0.6873009225645981,128,3,1.0,0.0004894617632874745,4.3491618737887526e-05,0.10367763358396842,16,154
105,0.7046401486965319,0.6861365296747319,256,2,1.5,0.0003103926578697617,0.00010858063097471136,0.21100547759437513,32,243
67,0.7028406838630725,0.6850450254431875,128,2,1.5,0.00012951752707530598,2.0795380528135603e-05,0.28586462295664866,16,155
