R² Val,R² Test,units,depth,lr,l2,dropout,batch_size,epochs
0.7630068700478123,0.7521591223787139,128,2,0.0006142508436705229,7.133594369030324e-05,0.14741994282601595,32,200
0.7595544857065405,0.749332624961953,128,2,0.0005133861538191466,2.818874057696005e-05,0.14659044504237842,32,500
0.7554353102392184,0.744431938358096,128,4,0.00032422317259706024,3.878216414079008e-05,0.12271853495751013,16,500
0.7563441369598433,0.7439790975478028,128,3,0.0005583746223733,1.584157639287025e-05,0.1162008554880692,16,200
0.7549760308281341,0.7438651579415354,128,3,0.0002249593217539,6.110068640414009e-05,0.1136536120939669,32,91
0.7528818191286826,0.7425713485251705,64,3,0.0007324224753528867,1.4965909324540165e-05,0.12068522733333105,16,200
0.7542041360683305,0.7406739056891654,128,3,0.0005986509942111,0.0001083908920662,0.1191662530459361,32,90
0.7516326490053092,0.7403280716020062,64,3,0.0007586998227325,1.6327709788658338e-05,0.118800349736352,16,84
0.7516234348438104,0.7401455832878812,64,3,0.0002820498282986,2.0839477938944248e-05,0.1447304294511371,16,200
0.7563731172520627,0.7400958827406865,64,2,0.0012134235869118,1.620271006622515e-05,0.1531997305458373,32,80
0.7488111965399871,0.7329891814753156,128,2,0.0016269911534626293,3.089113295482063e-05,0.19969188810856145,64,200
0.7405174843408426,0.7293456553256796,64,4,0.0003505821942853982,0.00032071224371219297,0.11323153602672936,64,200
0.7452520162862448,0.7293334605894461,128,2,0.00012214569138627117,5.591087071673954e-05,0.19576651414769444,16,300
0.7380094595250197,0.7210396144017326,32,2,0.0003898937444217243,2.028744276834582e-05,0.1047816645249402,64,200
