R² Val,R² Test,units,depth,lr,l2,dropout,batch_size,epochs
0.7602926692467835,0.7451636237518986,128,2,0.0006319205144364387,2.593926584807008e-05,0.15873768204501243,16,200
0.7588006115703059,0.7445547121124385,128,3,0.0005440138313043138,6.258288763521844e-05,0.1353486843414221,32,200
0.7563441369598433,0.7439790975478028,128,3,0.0005583746223733394,1.584157639287025e-05,0.11620085548806924,16,200
0.7549760308281341,0.7438651579415354,128,3,0.0002249593217539187,6.110068640414009e-05,0.11365361209396699,32,91
0.7573548138586226,0.7437291154383805,128,3,0.0001781422401417556,1.0731048983139914e-05,0.1249429491099133,32,200
0.7537744172416762,0.7424427657236679,128,2,0.00036410532296831495,7.904500583280584e-05,0.10032635918538303,32,75
0.7616815296505791,0.7420732029834155,128,3,0.0009480600586322423,1.089806301145362e-05,0.13805344587903984,32,83
0.7524789964912976,0.7415486339060169,128,3,0.001213980308861196,4.22371034738008e-05,0.13417851208121956,16,88
0.7532329056238956,0.7415471738209147,128,2,0.0009317002044454241,5.318748042189936e-05,0.13129762637669495,16,90
0.7568360907617867,0.7411304098029678,128,2,0.0001238760654153796,2.8043909240300603e-05,0.1359460383451076,16,200
0.7566720764104415,0.7409803156164055,128,2,0.0006422249212821367,5.208397424796729e-05,0.13541777205628744,32,200
0.7542041360683305,0.7406739056891654,128,3,0.0005986509942111203,0.0001083908920662424,0.11916625304593614,32,90
0.7520321873305214,0.74049036247787,128,3,0.0005158248300194061,0.0003806420581540184,0.1334461597268709,32,75
0.7516326490053092,0.7403280716020062,64,3,0.0007586998227325261,1.6327709788658338e-05,0.11880034973635209,16,84
0.7516234348438104,0.7401455832878812,64,3,0.00028204982829866304,2.0839477938944248e-05,0.14473042945113712,16,200
0.7563731172520627,0.7400958827406865,64,2,0.0012134235869118992,1.620271006622515e-05,0.15319973054583735,32,80
0.7525631309763995,0.7390446791498102,128,3,0.00030419603139436954,8.498242165145772e-05,0.1545472112819199,16,200
0.7539719671962497,0.7385789267694036,128,2,0.0009149785019348087,0.00022606187603781906,0.11808964988156852,32,200
0.7532796465754197,0.7384720987473887,128,2,0.0009791281308626305,8.40104899888841e-05,0.10774616690035664,16,95
0.7512432455158329,0.7379269231612681,64,2,0.00036382275055498527,4.7100416277421814e-05,0.11036014532029995,16,80
0.7523832713012244,0.7376648459577868,128,3,0.0003995839940673479,2.805055220237328e-05,0.1590292284092827,16,94
0.7495609996856012,0.7376367641294197,128,4,0.0005247407137760666,0.00011217320291205617,0.10999714716560972,32,67
0.749580945482434,0.7374790186019239,128,4,0.0002769534262460714,5.334318470651251e-05,0.13650583854281043,32,91
0.7504144425141324,0.7374527512573485,128,3,0.0004008407799400359,2.474448170295639e-05,0.13798064475166355,32,97
0.7505275437041243,0.7374462957564034,128,2,0.0008439368053795845,6.26254536384348e-05,0.11569714791350202,32,77
0.753781785044213,0.7373928204700531,128,2,0.0017918430494094533,6.784693642192946e-05,0.1323668432087408,32,53
0.7489155725434754,0.7373737948607276,128,2,0.001579678904861049,2.8233043976494574e-05,0.11699389757456359,16,200
0.7489254787428764,0.7368896832842028,128,4,0.00023253243505001715,7.70020071785194e-05,0.10002387364822983,16,96
0.7485574943499562,0.7368676688743905,64,3,0.00030348552101901096,1.1983997270765777e-05,0.12216759140333747,16,77
0.7492814277653357,0.7367630087304178,128,4,0.0014270723906001054,1.176739269764206e-05,0.10242528944497342,16,82
0.7492457888263526,0.7366064593129833,128,3,0.0010647783876645705,0.00011597661544316734,0.12606445328478955,32,200
0.7502388476637559,0.7352637128331669,64,2,0.0025383197288143112,6.440296918749241e-05,0.136149281351665,32,200
0.7484994092670023,0.7348318721244907,64,3,0.0003910477766520582,0.00046414360927864845,0.11661058995523374,16,200
0.7501621278367598,0.7343048808460318,128,3,0.0011631712762585106,0.0001806211217905587,0.15016037828634807,32,200
0.7481578287412619,0.7341498159558658,128,2,0.0002586037672305426,0.00010021762725865986,0.13480395530367897,32,200
0.7491465267690564,0.7337397689034875,128,2,0.00011773304775690316,3.809565970617087e-05,0.1210087439064171,16,200
0.7460369504354152,0.7334777330047777,64,2,0.0005875344952972467,0.00018987426356322377,0.13453503792852772,16,200
0.7496811176729847,0.7328115528240184,128,2,0.00032783838513123306,1.1952710086906116e-05,0.1331533742923162,32,200
0.7470209031687511,0.7323604966611075,64,2,0.0007477028441604191,4.4605757119417715e-05,0.15511427265978026,32,200
0.7453725583020421,0.7323571434244447,128,2,0.0007722245737374311,0.0004617601463874232,0.12310551478332299,32,200
0.7439114623351402,0.7307261490024564,128,3,6.630372905921237e-05,0.0002970504874965863,0.12291227652102628,32,200
