run_id,R² Val,R² Test,units,depth,shrink_factor,lr,l2,dropout,batch_size,epochs
0,0.6663878388821347,0.6420266556648502,256,2,1.0,0.0001467535299259559,0.00039666428529353003,0.24630605560471655,16,190
1,0.6958903299773067,0.6761884670445446,256,4,1.5,0.0003392802362280375,0.00022250365113654294,0.10044415075637514,32,190
2,0.677893400084582,0.6575182159943231,256,2,2.0,0.00016232642118465558,0.0008219058422715377,0.2797766123910211,16,124
3,0.4786122571177027,0.43048408858263987,128,2,2.0,0.008293156564520288,0.000779252786215717,0.23946761020747426,16,118
4,0.6484229508584585,0.6294976124618528,256,4,1.0,0.00014217454005753183,7.708385717562317e-05,0.19663350956886794,16,277
5,0.6549783813323506,0.636627907524818,256,3,1.5,0.0005274187911534154,0.0001585605421409704,0.19304901486694054,32,199
6,0.647013523009808,0.6373978454215683,128,3,1.5,0.0033337079067282675,2.6944573549252808e-05,0.15170122474179631,16,213
7,0.6419937648400296,0.6217865000248457,256,2,2.0,0.0012728552837433138,0.00023501253872447374,0.2762117831636043,16,206
8,0.5466172248267284,0.5310144276720552,64,2,2.0,0.00019685984309857974,2.1593887480512936e-05,0.2588036145051741,16,128
9,0.6424633074005036,0.6159145284112322,256,4,1.5,0.0003992750797647409,0.0005560466234548535,0.15768529280955884,16,260
10,0.6407294434838855,0.622916063468015,256,2,2.0,0.004112719013119548,2.5972219782242134e-05,0.2868904867468681,16,206
11,0.5916336354610278,0.5797862587529657,256,4,2.0,0.008286849395847184,0.0009352769127846446,0.17508480065254567,32,276
12,0.6617565410048829,0.6368504625156326,256,2,1.0,0.00048607285235859017,0.0006072404860908593,0.23252312229328442,16,220
13,0.625758569252538,0.6070346038722851,256,3,2.0,0.0027403154529128688,0.00013175938619190144,0.22963693314157782,32,204
14,0.5214472630766117,0.500698074674542,128,3,2.0,0.0002259103487911688,0.00014241121669874253,0.2696130304516429,32,284
15,0.5998894732712325,0.5782651070053675,64,2,1.0,0.0005404743076885163,1.0220340422668167e-05,0.28819426597796405,32,159
16,0.6594980256952451,0.6287890323985155,128,2,1.5,0.0005028039744863056,0.00017084761570453086,0.12154184747162476,16,160
17,0.6224715786369353,0.6016698455894491,64,3,1.0,0.00013361626545457732,0.0005609579719280562,0.1655824409813976,16,259
18,0.5587527025082522,0.539831268266914,128,4,2.0,0.0006430493294460704,0.0006874801479671423,0.2733868961000214,32,185
19,0.5630195373549631,0.544884264345084,64,4,2.0,0.00037512759437128245,3.802223864642682e-05,0.11386291422691526,16,134
